"State","Year","Total_Births","Nicu_Births","State_Control","Preterm_Births","Ceasarean_Births","Covid_Year","Total.Population","Birth_Rate","PretermBirth_Rate","CBirth_Rate","NICUBirth_Rate"
"Michiga",2020,104074,7956,"Divided",21608,33772,"1",9966555,0.0104423244,0.207621500086477,0.324499875088879,0.0764456060111075
"Michiga",2021,104980,9260,"Divided",23201,34846,"1",10050811,0.0104449283,0.22100400076205,0.331929891407887,0.0882072775766813
"Michiga",2022,102321,9350,"Divided",22941,33903,"1",10034113,0.0101973139,0.224206174685548,0.331339607705163,0.0913790912911328
"Michiga",2023,99124,9545,"Dem",22731,32924,"1",10037261,0.0098756025,0.229318832976877,0.332149630765506,0.0962935313344901
"Minneso",2016,69749,5722,"Divided",11722,18685,"0",5519952,0.0126357983,0.168059757129134,0.267889145364091,0.0820370184518774
"Minneso",2017,68595,5540,"Divided",11833,18802,"0",5576606,0.0123004925,0.172505284641738,0.274101610904585,0.080763904074641
"Minneso",2018,67344,5352,"Divided",11977,18155,"0",5611179,0.0120017558,0.177848063673081,0.269586006177239,0.0794725588025659
"Minneso",2019,66027,5583,"Divided",12344,18223,"0",5639632,0.0117076788,0.186953821921335,0.275993154315659,0.0845563178699623
"Minneso",2020,63443,5479,"Divided",11950,18055,"1",5657342,0.011214277,0.188358053685986,0.284586163958199,0.0863609854515077
"Minneso",2021,64425,5623,"Divided",12959,18629,"1",5707390,0.0112879968,0.201148622429181,0.289157935584012,0.0872797826930539
"Minneso",2022,64015,5563,"Divided",13129,19159,"1",5717184,0.0111969459,0.205092556432086,0.299289229086933,0.0869015074591893
"Minneso",2023,61715,5335,"Dem",13056,18626,"1",5737915,0.010755649,0.211553107024224,0.301806692052175,0.0864457587296443
"Mississ",2016,37928,2779,"Rep",9730,14495,"0",2988726,0.012690357,0.256538704914575,0.382171482809534,0.0732704070871124
"Mississ",2017,37357,2787,"Rep",9536,14135,"0",2984100,0.0125186823,0.255266750542067,0.37837620793961,0.0746044917953797
"Mississ",2018,37000,2894,"Rep",10082,14167,"0",2986530,0.0123889598,0.272486486486486,0.382891891891892,0.0782162162162162
"Mississ",2019,36636,2994,"Rep",10220,14094,"0",2976149,0.0123098676,0.278960585216727,0.384703570258762,0.0817228955126105
"Mississ",2020,35473,2944,"Rep",9906,13534,"1",2966786,0.0119567101,0.279254644377414,0.381529614072675,0.0829926986722296
"Mississ",2021,35156,3313,"Rep",10137,13522,"1",2949965,0.0119174295,0.288343383775173,0.38462851291387,0.094237114575037
"Mississ",2022,34675,3271,"Rep",10425,13338,"1",2940057,0.011793989,0.300648882480173,0.384657534246575,0.0943330930064888
"Mississ",2023,34459,3432,"Rep",10688,13072,"1",2939690,0.0117219843,0.310165704170173,0.379349371717113,0.099596622072608
"Missour",2016,74705,6184,"Divided",14686,22520,"0",6093000,0.0122607911,0.196586573857172,0.301452379358811,0.0827789304598086
"Missour",2017,73034,6246,"Rep",15086,21920,"0",6113532,0.0119462857,0.206561327600843,0.300134184078648,0.0855218117589068
"Missour",2018,73269,6547,"Rep",15285,21906,"0",6126452,0.0119594506,0.20861483028293,0.298980469229824,0.0893556620125838
"Missour",2019,72127,6982,"Rep",15728,21646,"0",6137428,0.0117519912,0.218059811166415,0.300109529025192,0.0968014751757317
"Missour",2020,69285,6722,"Rep",15687,20258,"1",6151548,0.0112630187,0.226412643429314,0.292386519448654,0.0970195569026485
"Missour",2021,69453,7075,"Rep",16387,20912,"1",6168187,0.0112598726,0.235943731732251,0.301095705009143,0.101867449930169
"Missour",2022,68985,6998,"Rep",16750,20960,"1",6177957,0.0111663127,0.242806407189969,0.303834166847865,0.101442342538233
"Missour",2023,67123,7043,"Rep",16399,20264,"1",6196156,0.0108330068,0.244312679707403,0.301893538727411,0.104926776216796
"Montana",2016,12282,1070,"Divided",2103,3578,"0",1042520,0.0117810689,0.171226184660479,0.291320631818922,0.0871193616674809
"Montana",2017,11799,1057,"Divided",2050,3357,"0",1050493,0.0112318692,0.173743537587931,0.284515636918383,0.0895838630392406
"Montana",2018,11513,969,"Divided",2128,3235,"0",1062305,0.0108377538,0.184834534873621,0.280986710674889,0.084165725701381
"Montana",2019,11079,1015,"Divided",2133,3150,"0",1068778,0.0103660442,0.192526401299756,0.284321689683184,0.0916147666756928
"Montana",2020,10791,1027,"Divided",2243,2975,"1",1080577,0.0099863314,0.207858400518951,0.275692706885367,0.095171902511352
"Montana",2021,11231,1083,"Rep",2375,3116,"1",1104271,0.0101705107,0.211468257501558,0.277446353842044,0.0964295254207105
"Montana",2022,11175,1081,"Rep",2376,3021,"1",1122867,0.0099522027,0.21261744966443,0.270335570469799,0.0967337807606264
"Montana",2023,11078,1138,"Rep",2431,2880,"1",1132812,0.0097792043,0.219443942949991,0.259974724679545,0.10272612384907
"Nebrask",2016,26589,2853,"Excluded",5032,8248,"0",1907116,0.0139419941,0.189251194102824,0.310203467599383,0.107300011282861
"Nebrask",2017,25821,2947,"Excluded",5036,7852,"0",1920076,0.0134479052,0.195035048991131,0.304093567251462,0.114131908136788
